Rack ID,Asset ID,Position,Lab,Location,Type,Usage,Rack Info,Subnets,Hosts,Console Subnet,Console VLAN
Rack-029,H1028,34,Lab-1,DC-West,Blade,Compute,Row-15 Slot-19,172.19.194.0/24,17,172.18.66.0/24,VLAN-419
Rack-030,H1029,12,Lab-5,DC-North,Standard,Storage,Row-19 Slot-1,10.196.44.0/24,27,192.168.206.0/24,VLAN-952
Rack-031,H1030,14,Lab-4,DC-North,Network,Storage,Row-7 Slot-12,172.17.36.0/24,31,172.24.252.0/24,VLAN-479
Rack-032,H1031,30,Lab-1,DC-West,Network,Compute,Row-16 Slot-10,172.18.171.0/24,35,172.19.246.0/24,VLAN-402
Rack-033,H1032,9,Lab-1,DC-North,Network,Networking,Row-8 Slot-3,172.26.142.0/24,20,192.168.52.0/24,VLAN-947
Rack-034,H1033,17,Lab-4,DC-East,Standard,Networking,Row-9 Slot-10,172.27.60.0/24,36,172.23.226.0/24,VLAN-395
Rack-035,H1034,25,Lab-1,DC-North,Network,Networking,Row-20 Slot-22,172.24.211.0/24,19,192.168.244.0/24,VLAN-274
Rack-036,H1035,15,Lab-5,DC-East,Network,Networking,Row-15 Slot-35,10.81.46.0/24,12,10.155.155.0/24,VLAN-879
Rack-037,H1036,27,Lab-1,DC-North,Blade,Networking,Row-12 Slot-25,192.168.121.0/24,15,172.30.44.0/24,VLAN-226
Rack-038,H1037,27,Lab-2,DC-East,Network,Networking,Row-5 Slot-2,10.12.74.0/24,32,172.30.15.0/24,VLAN-832
Rack-039,H1038,25,Lab-5,DC-West,Standard,Compute,Row-9 Slot-32,192.168.18.0/24,21,192.168.207.0/24,VLAN-393
Rack-040,H1039,17,Lab-2,DC-West,Standard,Networking,Row-17 Slot-7,10.210.233.0/24,39,10.246.217.0/24,VLAN-992
Rack-041,H1040,5,Lab-5,DC-West,Blade,Networking,Row-11 Slot-21,172.26.233.0/24,40,10.55.254.0/24,VLAN-536
Rack-042,H1041,28,Lab-4,DC-East,Standard,Storage,Row-17 Slot-29,172.21.30.0/24,16,192.168.160.0/24,VLAN-539
Rack-043,H1042,29,Lab-2,DC-East,Standard,Networking,Row-19 Slot-15,192.168.123.0/24,38,10.116.55.0/24,VLAN-686
Rack-044,H1043,19,Lab-4,DC-North,Standard,Networking,Row-5 Slot-22,192.168.106.0/24,24,10.52.255.0/24,VLAN-974
Rack-045,H1044,11,Lab-5,DC-North,Blade,Networking,Row-4 Slot-5,172.23.121.0/24,27,10.125.240.0/24,VLAN-397
Rack-046,H1045,1,Lab-1,DC-North,Network,Networking,Row-1 Slot-9,192.168.227.0/24,11,172.24.242.0/24,VLAN-795
Rack-047,H1046,21,Lab-1,DC-East,Blade,Storage,Row-11 Slot-39,192.168.224.0/24,36,172.23.236.0/24,VLAN-914
Rack-048,H1047,4,Lab-4,DC-West,Network,Storage,Row-8 Slot-15,192.168.180.0/24,18,172.21.85.0/24,VLAN-193
Rack-049,H1048,35,Lab-4,DC-East,Network,Storage,Row-8 Slot-37,192.168.129.0/24,38,172.24.127.0/24,VLAN-236
Rack-050,H1049,41,Lab-3,DC-East,Network,Storage,Row-14 Slot-39,10.203.10.0/24,8,192.168.73.0/24,VLAN-940
